Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,"Themen (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)","Fachbereich / Material (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)",Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive,Letzte Aktualisierung
Numismatic Description Schema (NUDS),https://nomisma.org/nuds,,<KI-Generiert> Datenschema,"<KI-Generiert> Das Numismatic Description Schema ist ein kodifiziertes XML-Schema, das auf numismatischen Datenbankfeldern basiert, die von Sebastian Heath und Andrew Meadows vorgeschlagen wurden.","<KI-Generiert> Numismatik, Schema, XML, Datenbankfelder, Linked Open Data",,,,,<KI-Generiert> XML,,<KI-Generiert> Creative Commons Attribution 3.0 License,<KI-Generiert> x,,,,,True,True,2012-09-12
OASIS,https://oasis.ac.uk/country/england/index.xhtml?country=england,ADS,<KI-Generiert> Datenbank,<KI-Generiert> Einreichung von Daten aus historischer und archäologischer Feldforschung. Repositorium. Vokabulare/Thesauri,"<KI-Generiert> historische und archäologische Feldforschung, Repositorium, Vokabulare, Thesauri",Einreichung von Daten aus historischer und archäologischer Feldforschung. Repositorium. Vokabulare/Thesauri,,UK,englisch,Web-Service,,,<KI-Generiert> x,x,,https://oasis.ac.uk/contact.xhtml,,True,True,
ObjectID,https://icom.museum/en/resources/standards-guidelines/objectid/ ,ICOM - International Council of Museums,<KI-Generiert> Ontologie,"<KI-Generiert> Bezug auf Einzelobjekte, Identifier für Objekte",<KI-Generiert> Schlagwörter,"Internationaler Standard für Dokumentation und Beschreibung von Objekten → Bezug auf Einzelobjekte, Identifier für Objekte",,diverse,diverse,,,,,,"9  Informationskategorien: Objekttyp, Material/Technik, Maße, Beschriftung/Markierungen, Merkmale, Titel, Thema, Datierung, Hersteller",,,True,False,
Oddy-Test,https://www.smb.museum/museen-einrichtungen/rathgen-forschungslabor/forschung/forschungsergebnisse/der-oddy-test/,Rathgen-Forschungslabor,<KI-Generiert> Fachtext,<KI-Generiert> Übersicht der Proben und Ergebnisse des Oddy-Tests zur Materialverträglichkeit von Ausstellungsmaterialien,<KI-Generiert> Materialien,Materialien,Alle,,"deutsch, englisch",PDF,-,,X,,,,True,,True,1998-01-01
ODPA-3DR,https://ieeexplore.ieee.org/document/7419528,Arts et métiers ParisTech,<KI-Generiert> Fachtext,<KI-Generiert> Wand und Stein,"<KI-Generiert> Dokumenatation, Zustand, Wand, Stein","Dokumenatation, Zustand",Wand und Stein,,englisch,Protégé / Cidoc CRM ,X,,X,,,,True,,False,
Ökumenisches Heiligenlexikon,https://www.heiligenlexikon.de/,Joachim Schäfer,<KI-Generiert> Fachtext,"<KI-Generiert> Umfangreiches Lexikon mit Lebensgeschichten und Legenden von über 10.000 Frauen und Männern aus verschiedenen christlichen Konfessionen, inklusive Abbildungen und Links zu weiteren Ressourcen.","<KI-Generiert> Heilige, Namenstage, Patrone, Ökumenisches Heiligenlexikon, Heiligenlexikon",Objekte,Alle,,deutsch,HTML,-,,X,,,,True,,True,1998-09-14
Ontology of Paintings and Preservation of Art (OPPRA),http://www.20thcpaint.org/oppra-owl/,University of Queensland (eResearch Lab) und Asia Pacific Twentieth Century Conservation Art Research Network,Ontologie,<KI-Generiert> Ontologie zur Beschreibung von konservatorischen Maßnahmen an Gemälden unter Erweiterung bestehender Ontologien (u.A. CIDOC CRM) um fachspezifische Klassen und Properties,<KI-Generiert> Gemälde,Aus einem Forschungsprojekt entstandene Ontologie zur Beschreibung von konservatorischen Maßnahmen an Gemälden unter Erweiterung bestehender Ontologien (u.A. CIDOC CRM) um fachspezifische Klassen und Properties ,Gemälde,AUS,englisch,"Protégé / Cidoc CRM,  OIA-ORE, OreChem ",X,,-,,Website aktuell nicht erreichbar. Arbeitsergebnisse nicht auffindbar,,True,,True,
Open Geospatial Consortium (OGC),https://www.ogc.org/de/,Open Geospatial Consortium,<KI-Generiert> Fachtext,"<KI-Generiert> Interface standards für den Aufbau von Schnittstellen. (zB. GML, WCS, WFS, WMS…)",<KI-Generiert> Schnittstellen,"Interface standards für den Aufbau von Schnittstellen. (zB. GML, WCS, WFS, WMS…)",Schnittstellen,diverse,diverse,,,,,,,,,True,False,
Painting Conservation - Glossary of Terms - Smithsonian Museum Conservation Institute,https://mci.si.edu/painting-conservation-glossary-terms,Smithsonian’s Museum Conservation Institute,<KI-Generiert> Fachtext,"<KI-Generiert> Glossar von Begriffen zur Gemäldekonservierung, das Begriffe wie Abrieb, Acryl, Alkyd, Alla Prima, Bindemittel, Blanchieren, Mischen, Blockieren, Blüte, Körper, Kreiden, Chiaroscuro, Farbe, Craquelure, Kriechen, Reißen, Crocking, Trockner, Trocknungsöle, Effloreszenz, Eitempera-Malerei, Emulsion, Emaillefarben, Füllstoff, Fliegendreck, flüchtiges Pigment, Gesso, Glair, Lasur, Glanz, Schmutz, Grundierung, Dunst, Impasto, Inpainting, Lack, See, Latex, Auslaugen, magere Farbe, Lichtechtheit, Helligkeit, Leinöl, geladen, Glanz, Medium, Mehltau, Testbenzin, Mottling, natürlicher Firnis, Öl, oleoresinös, Deckkraft, opak, Orangenhaut, Übermalung, Farbschicht, Pentimento, Pigment, polare Lösungsmittel, Polymer, Grundierung, Harz, Retusche, Durchhängen, Sättigung, Scumble, Farbton, Glanz, Sinken, Größe, Keilrahmen, Sieb, Kunstharz, Kunstharzlacke, Spannkanten, Tempra, thermoplastisch, duroplastisch, Zähigkeit, Terpentin (Spirituosen), Ultraviolett, Firnis, wasserempfindliches Bindemittel, White Spirit sowie Maßnahmen und Zustand im Bezug auf Gemälde erläutert.","<KI-Generiert> Gemälde, Konservierung, Glossar, Begriffe, Maßnahmen, Zustand","Maßnahmen, Zustand",Gemälde,,englisch,HTML,-,,X,,,,True,,True,
Petra archaeological park weathering and deterioration definitions,https://www.heritageforpeace.org/wp-content/uploads/2013/03/Glossary-Weathering-Deterioration-Definitions-AR-EN.pdf,Petra Archaeological Park,<KI-Generiert> Fachtext,"<KI-Generiert> Definitionen im Kontext von Verwitterung und Verschlechterung im archäologischen Park von Petra, mit Fokus auf Wände und Steine.","<KI-Generiert> Zustand, Wand, Stein, Verwitterung, Verschlechterung, Petra archaeological park",Zustand,Wand und Stein,,englisch,PDF,-,,X,,,,True,,True,
Photographic process terms glossary,https://peib.dmu.ac.uk/about/glossary.php,National Gallery of Canada,<KI-Generiert> Fachtext,"<KI-Generiert> Glossar fotografischer Begriffe, das verschiedene fotografische Verfahren und Techniken beschreibt. Enthält Definitionen von Begriffen wie Albumen, Kalotypie, Kollodium und anderen historischen fotografischen Prozessen. Schlagwörter: Objekte, Techniken, Neue Medien, Photographien","<KI-Generiert> Albumen, Kalotypie, Kollodium, fotografische Prozesse, fotografische Techniken, Negative, Positive, Daguerreotype, Cyanotype, Wachspapier, Fotogravüre, Lichtdruck, Objekte, Techniken, Neue Medien, Photographien","Objekte, Techniken",Neue Medien / Photographien,,englisch,HTML,-,,X,,,,True,,True,2004-01-01
PMG Cased Photographs,https://www.conservation-wiki.com/index.php?title=PMG_Cased_Photographs#2.6_Glossary,American Institute for Conservation,<KI-Generiert> Fachtext,"<KI-Generiert> Informationen über Fotografien in Gehäusen, einschließlich Daguerreotypien, Ambrotypien und Tintenbilder. Erläuterungen zu Materialien, Erhaltungsfragen und Behandlungstechniken.","<KI-Generiert> Fotografische Materialien, Objekte, Techniken, Papier","Objekte, Techniken",Papier,,englisch,MediaWiki,-,,X,,,,True,,True,2024-04-11
Polygnosis thesaurus,http://politeia.iesl.forth.gr/polygnosis/,"Department of Conservation of Antiquities and Works of Art, Athens",<KI-Generiert> Vokabular,<KI-Generiert> Methoden,"<KI-Generiert> Methoden, Schlagwörter, Kurzbeschreibung",Methoden,Alle,,englisch,Cidoc CRM,X,,X,,,,True,,True,
Post Production Glossary,https://www.digitalrebellion.com/webapps/glossary,"Digital Rebellion LLC, Los Angeles",<KI-Generiert> Fachtext,"<KI-Generiert> Glossar mit Begriffen aus der Postproduktion. Objekte, Techniken, Neue Medien / Video","<KI-Generiert> Postproduktion, Objekte, Techniken, Neue Medien, Video, Glossar","Objekte, Techniken",Neue Medien / Video,,englisch,HTML,-,,X,,,,True,,True,2025-01-01
"Preparation, Art Handling, Collection Care Information Network",https://www.paccin.org/content.php?1-home,T. Ashley McGrew,<KI-Generiert> Fachtext,"<KI-Generiert> PACCIN ist eine Organisation, die von Hands-On Collections Care Professionals gegründet wurde und sich der Unterstützung ihrer Arbeit verschrieben hat. Die Mitglieder kommen aus den Bereichen Archiv, Kunsttransport, Kofferherstellung, Sammlungspflege, Konservierung usw.","<KI-Generiert> Art/Object Handling, Casework/Fabrication, Conservation, Crating, Fasteners/Hardware, Installation, Lighting, Materials, Packing, Project Management, Registration, Resources, Rigging, Security, Shipping, Space Preparation, Storage, Technology, Tools/Equipment","Maßnahmen, Materialien",Alle,,englisch ,HTML,-,<KI-Generiert> All rights to the material published here are retained by the contributors.,X,,,,True,,True,2025-01-01
Propylaeum@heiDATA,https://www.propylaeum.de/publizieren/forschungsdaten,Propylaeum - Fachinformationsdienst für die Altertumswissenschaften der UB Heidelberg und BSB München,<KI-Generiert> Datenbank,<KI-Generiert> Forschungsdatenreporsitorium der Uni Heidelberg,<KI-Generiert> Forschungsdaten,Forschungsdatenreporsitorium der Uni Heidelberg,,,"<KI-Generiert> Deutsch, Englisch",,,,<KI-Generiert> x,,    • alle Forschungdaten werden mit DOI versehen     • Langzeitarchiv heiARCHIVE     • OAIS-kompatibel     • Mitglied NFDI4Objects TA5,,,True,True,2024-11-20
Raman Spectroscopic Library,http://www.chem.ucl.ac.uk/resources/raman/index.html,University College London,<KI-Generiert> Datenbank,"<KI-Generiert> Raman Spectroscopic Library of Natural and Synthetic Pigments. Raman spectra of sixty-four common pigments, both natural and synthetic, known to have been in use before ~1850 AD, have been studied by Raman microscopy. Spectroscopic files in SPC format may be downloaded via the spectra pages.","<KI-Generiert> Methoden, Pigmente, Raman spectroscopy",Methoden,Pigmente,<KI-Generiert> UK,englisch,HTML,-,<KI-Generiert> Copyright © 1999-2010 UCL,X,,,,True,,True,2010-08-09
Rare Books and Manuscripts Section,https://rbms.info/vocabularies/index.shtml,American Library Association,<KI-Generiert> Vokabular,"<KI-Generiert> Standardisiertes Vokabular zum Abrufen von Materialien aus Spezialsammlungen nach Form, Genre oder verschiedenen physischen Merkmalen, die typischerweise für Forscher und Bibliothekare von Spezialsammlungen von Interesse sind, und zur Zuordnung von Materialien zu Einzelpersonen oder Körperschaften. Objekte, Techniken, Papier","<KI-Generiert> Objekte, Techniken, Papier","Objekte, Techniken",Papier,,englisch,MediaWiki,-,,X,,,,True,,True,2018-03-14
Ratgeber zur Archivierung digitaler Daten,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme,VLA,<KI-Generiert> Fachtext,<KI-Generiert> Ratgeber zur Archivierung digitaler Daten.,"<KI-Generiert> Datenarchivierung, Archivierung digitaler Daten",Empfehlungen zur Archivierung digitaler Daten,Datenarchivierung,DE,deutsch,PDF,,,<KI-Generiert> x,,https://www.landesarchaeologien.de/fileadmin/mediamanager/004-Kommissionen/Archaeologie-und-Informationssysteme/Archivierung/Ratgeber_Archivierung_V1.0.pdf ,AG Archivierung des VLA; https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-3,,True,True,2025-01-01
Research space,https://researchspace.org/,"British Museum, London",<KI-Generiert> Datenbank,"<KI-Generiert> ResearchSpace ist ein flexibles und erweiterbares Informationssystem, das Forschung mit Provenienz aufzeichnet und sowohl für Spezialisten als auch für ein breiteres Publikum zugänglich ist. Fördert die Wissenserhaltung durch Daten, wobei Bedeutungen und Beziehungen unter Verwendung von realen Ontologien wie CIDOC-CRM ausgedrückt werden.","<KI-Generiert> Objekte, Maßnahmen, Techniken, Zustand","Objekte, Maßnahmen, Techniken, Zustand",Alle,,englisch,Cidoc CRM,X,,X,,,,True,,True,2025-01-31
Resource Description Framework (RDF),https://en.wikipedia.org/wiki/Resource_Description_Framework,,<KI-Generiert> Fachtext,<KI-Generiert> Das Resource Description Framework (RDF) ist eine Methode zur Beschreibung und zum Austausch von Graphdaten. Es wurde ursprünglich als Datenmodell für Metadaten vom World Wide Web Consortium (W3C) entworfen.,"<KI-Generiert> Resource Description Framework, RDF, Datenmodell, Metadaten, Graphdaten, Semantic Web, W3C, Turtle, TriG, N-Triples, N-Quads, JSON-LD, Notation3, RDF/XML, RDF/JSON, SPARQL, RDF Schema, OWL, SHACL, Ontologie",,,,<KI-Generiert> Deutsch,"<KI-Generiert> RDF, XML, Turtle, TriG, N-Triples, N-Quads, JSON-LD",,<KI-Generiert> Creative Commons Attribution-ShareAlike 4.0 License,<KI-Generiert> x,,"W3C Standard, https://format.gbv.de/rdf",,True,True,True,2025-03-12
"Romoe Restauratoren Netzwerk - Restaurierung, Kunst, Denkmalpflege",https://www.romoe.com/de/,Anuvito GmbH,<KI-Generiert> Fachtext,"<KI-Generiert> Internationales Informations- und Branchennetzwerk für Restaurierung, Konservierung, Restaurierungsbedarf, Kunst, Denkmalpflege und Denkmalschutz. Bietet ein Verzeichnis von Experten, Fachbereiche, Regionen und Informationen zu Produkten, Bildung, Museen, Terminen und Jobs. Zusätzliche Schlagworte: Literatur, Materialien.","<KI-Generiert> Restaurierung, Konservierung, Restaurierungsbedarf, Kunst, Denkmalpflege, Denkmalschutz, Literatur, Materialien","Literatur, Materialien",Alle,<KI-Generiert> Deutschland,deutsch,HTML,-,,X,,,,True,,True,2024-04-01
RRUFF Database,https://rruff.info/,University of Arizona,<KI-Generiert> Datenbank,"<KI-Generiert> Eine integrierte Datenbank mit Raman-Spektren, Röntgenbeugungs- und chemischen Daten für Mineralien. Bietet einen Standard für Mineralogen, Geowissenschaftler, Gemmologen und die breite Öffentlichkeit für die Identifizierung von Mineralien auf der Erde und für die planetare Exploration. Schlagwörter: Methoden, Mineralien","<KI-Generiert> Raman-Spektren, Röntgenbeugung, chemische Daten, Mineralien, Mineralogen, Geowissenschaftler, Gemmologen",Methoden,Mineralien,,englisch,HTML,-,,X,,,,True,,True,2007-10-01
Rutherford Online – Lexikon der Elemente,https://www.uniterra.de/rutherford/,Universal Terra Ltd.,<KI-Generiert> Fachtext,<KI-Generiert> Das Rutherford Lexikon der Elemente beschreibt detailliert und kategorisiert die Elemente. Es bietet einen kompakten Einblick in die verschiedenen Elementgruppen. Chemie,"<KI-Generiert> Chemie, Elemente, Periodensystem, Alkalimetalle, Übergangsmetalle, Halogene, Edelgase",Chemie,Alle,,deutsch,HTML,-,,X,,,,True,,True,2023-09-19
Salzwiki,https://www.salzwiki.de/index.php/Startseite,"Hornemann-Institut, HAWK Hildesheim",<KI-Generiert> Fachtext,"<KI-Generiert> SalzWiki ist ein redaktionell betreutes Fachportal mit deutschen und englischen Informationen zu Salzen, Schäden durch Salze, und Umgang mit Salzschäden.","<KI-Generiert> Salze, Schäden durch Salze, Umgang mit Salzschäden, Gutachten, Planung von Maßnahmen",Zustand,Alle,<KI-Generiert> Deutschland,"deutsch, englisch",MediaWiki,-,<KI-Generiert> Namensnennung-Nicht-kommerziell-Weitergabe unter gleichen Bedingungen 3.0 Deutschland,X,,,,True,,True,2025-03-28
Selection of Materials for the Storage or Display of Museum Objects (Oddy test),https://britishmuseum.iro.bl.uk/concern/books/102da8e4-8a79-4d94-adec-00226ee8ed60?locale=en,"British Museum, London",<KI-Generiert> Fachtext,"<KI-Generiert> Dieses Buch stellt die gesamte Bandbreite der Tests für Materialien vor, die bei der Konstruktion von Lager- und Ausstellungsbereichen verwendet werden, die im British Museum verwendet werden, und beschreibt Standardverfahren für deren Durchführung. Es wurde erstmals 1996 veröffentlicht, eine neue und vollständig überarbeitete Ausgabe erschien 2004. Die veröffentlichte Datenbank des British Museum mit Materialtestergebnissen enthält die Ergebnisse der 'Oddy'-Tests und pH-Tests, die in den letzten fünf Jahren an Materialien im Museum durchgeführt wurden. Einige Materialien setzen flüchtige Bestandteile (Lösungsmittel, organische Säuren usw.) frei, die in einem geschlossenen Raum Konzentrationen erreichen können, die Objekte beschädigen, Metalle korrodieren oder beispielsweise organisches Material schädigen können. Materialtests werden durchgeführt, um festzustellen, ob Materialien sicher mit Objekten in Vitrinen, Verpackungskisten oder Lagern verwendet werden können. Die neueste Version der Datenbank und ein Begleitdokument, das die Verwendung erläutert, können unten heruntergeladen werden. Durch das Herunterladen der Datenbank stimmen Sie dem im Dokument „Wichtiger Hinweis und Haftungsausschluss“ genannten zu. Bitte beachten Sie, dass der Zugriff auf die Datenbank den Nutzungsbedingungen der British Museum-Website unterliegt. Schlagwörter: Conservation, museum practice, Oddy test, Materialien.","<KI-Generiert> Conservation, museum practice, Oddy test, Materialien",Materialien,Alle,<KI-Generiert> London,englisch,Excel,-,<KI-Generiert> CC BY-NC-SA 4.0 Attribution-NonCommercial-ShareAlike,X,,,,True,,True,2022-06-08
Simple Knowledge Organisation System (SKOS),https://www.w3.org/2004/02/skos/,SKOS Simple Knowledge Organization System,<KI-Generiert> Vokabular,"<KI-Generiert> Standard zur Abbildung von Thesauri, Klassifikationen und anderen Wissensorganisationssystemen","<KI-Generiert> Thesauri, Klassifikationen, Wissensorganisationssysteme","Standard zur Abbildung von Thesauri, Klassifikationen und anderen Wissensorganisationssystemen",,diverse,diverse,<KI-Generiert> RDF,,"<KI-Generiert> Copyright © 1994-2012 W3C ® (MIT, ERCIM, Keio), All Rights Reserved. W3C liability, trademark, document use and software licensing rules apply.",<KI-Generiert> x,,"W3C Standard, Java Variant: JSKOS, https://format.gbv.de/skos",,True,True,True,2012-12-13
Stained Glass Terminology,https://www.stainedglass.org/learning-resources/stained-glass-dictionary,The Stained Glass Association of America,<KI-Generiert> Fachtext,"<KI-Generiert> Nützliche Begriffe in der architektonischen Glaskunstindustrie. Objekte, Techniken, Glas","<KI-Generiert> Objekte, Techniken, Glas","Objekte, Techniken",Glas,,englisch,HTML,-,,X,,,,True,,True,2022-12-26
Stretchers and Strainers: Glossary,https://www.conservation-wiki.com/wiki/Stretchers_and_Strainers:_Glossary,American Institute for Conservation,<KI-Generiert> Fachtext,"<KI-Generiert> Glossar zu Keilrahmen und Rahmen für Gemälde, Definitionen von Fachbegriffen im Zusammenhang mit der Konservierung und Restaurierung von Gemälden, insbesondere im Hinblick auf Keilrahmen und Rahmen. Enthält Begriffe wie Hilfsstütze, Leiste, Wulst, Fase, Gehrungsverbindung, Blindrahmen, Bolzen und viele mehr.","<KI-Generiert> Materialien, Gemälde, Keilrahmen, Rahmen, Glossar, Definitionen, Konservierung, Restaurierung",Materialien,Gemälde,,englisch,MediaWiki,-,,X,,,,True,,True,2021-06-23
Thesaurus For Graphic Materials,https://www.loc.gov/cds/products/product.php?productID=81,Library of Congress,<KI-Generiert> Vokabular,"<KI-Generiert> Der Thesaurus for Graphic Materials enthält die von der Prints and Photographs Division der Library of Congress und Archiven landesweit zusammengestellten und verwendeten Schlagwörter sowie Genre- und physischen Merkmalbegriffe zum Katalogisieren und Suchen von Bild- und Grafikmaterial. Objekte, Techniken, Papier","<KI-Generiert> Objekte, Techniken, Papier","Objekte, Techniken",Papier,<KI-Generiert> USA,englisch,MultiTes,X,,X,,,,True,,True,2015-01-13
Time Ontology in Web Ontology Language (OWL-Time),https://www.w3.org/TR/owl-time/,,<KI-Generiert> Ontologie,"<KI-Generiert> OWL-Time ist eine OWL-2-DL-Ontologie für zeitliche Konzepte, zur Beschreibung der zeitlichen Eigenschaften von Ressourcen in der Welt oder beschrieben auf Webseiten. Die Ontologie bietet ein Vokabular zum Ausdrücken von Fakten über topologische (Ordnungs-) Beziehungen zwischen Zeitpunkten und Intervallen, zusammen mit Informationen über Dauern und über die zeitliche Position einschließlich Datums- und Zeitinformationen.","<KI-Generiert> Zeit, Ontologie, OWL, Temporal, Intervalle, Zeitpunkte, Dauer, Datum, Uhrzeit, Kalender",,,,,<KI-Generiert> OWL,,"<KI-Generiert> Copyright © 2022 W3C ® (MIT, ERCIM, Keio, Beihang).",<KI-Generiert> x,,W3C Standard,,,True,True,2022-11-15
Uemura dye archive,https://cameo.mfa.org/wiki/Category:Uemura_dye_archive,"Museum of fine arts, Boston",<KI-Generiert> Datenbank,"<KI-Generiert> Das Uemura dye archive ist eine Sammlung von 744 gefärbten Stoffen, die Anfang des 20. Jahrhunderts von Uemura Rokuro, einem einflussreichen Gelehrten der traditionellen Färbetechniken von Stoff und Papier in Japan, hergestellt wurden. Die Sammlung wurde 2008 vom MFA erworben. Eine Datenbank mit dem originalen japanischen Text und seiner englischen Übersetzung wurde von Masumi Kataoka, Sherman Fairchild Fellow in Textile Conservation, erstellt. Bilder aller gefärbten Proben in sichtbarem und ultraviolettem Licht wurden von Keith Lawrence, Wissenschaftsfotograf, aufgenommen. Schlagwörter: Materialien, Farbstoffe","<KI-Generiert> Materialien, Farbstoffe, traditionelle Färbetechniken, Stoff, Papier",Materialien,Farbstoffe,<KI-Generiert> Japan,englisch,MediaWiki,-,,X,,,,True,,True,2016-08-30
UncertaintyOntology,https://www.w3.org/2005/Incubator/urw3/wiki/UncertaintyOntology.html,,<KI-Generiert> Ontologie,<KI-Generiert> Ontologie für Unsicherheiten im World Wide Web,"<KI-Generiert> Ontologie, Unsicherheit, W3C, Semantik Web",,,,,<KI-Generiert> OWL,,,<KI-Generiert> x,,W3C Standard,,,True,True,2008-01-08
Union List of Artist Names,https://www.getty.edu/research/tools/vocabularies/ulan/,Getty Research Institute,<KI-Generiert> Vokabular,<KI-Generiert> Union List of Artist Names (ULAN) ist ein Vokabular für Künstlernamen.,"<KI-Generiert> Künstlernamen, Vokabular",Dokumentation,Alle,,englisch,HTML,-,<KI-Generiert> Open Data Commons Attribution License (ODC-By) 1.0,X,,,vocab@getty.edu,True,,True,2017-03-07
Urushi Glossary,http://urushigakusha.jp/uploads/sites/2/Essential_Bilingual_Glossary_of_Japanese_Urushi_Materials_and_Techniques.pdf,"Mejiro Urushi Studio, Tokyo",<KI-Generiert> Fachtext,"<KI-Generiert> Urushi Glossar mit Objekten, Techniken und Lack","<KI-Generiert> Objekte, Techniken, Lack","Objekte, Techniken",Lack,,"englisch, japanisch, etc.",PDF,-,,X,,,,True,,True,
Viaduct - Glossary analytical methods,http://www.viaduct-diadrasis.net/glossary,"Diadrasis, Athen",<KI-Generiert> Fachtext,"<KI-Generiert> Glossar analytischer Methoden zur Isolation, Identifizierung, Detektion und Quantifizierung chemischer Substanzen. Methoden","<KI-Generiert> analytische Methoden, Terminologie",Methoden,Alle,,englisch,HTML,-,,X,,,,True,,True,
Viaduct - Image glossary analytical methods,http://www.viaduct-diadrasis.net/image-glossary,"Diadrasis, Athen",<KI-Generiert> Fachtext,<KI-Generiert> Image glossary analytical methods,<KI-Generiert> Methoden,Methoden,Alle,,englisch,HTML,-,,X,,,,True,,True,
Video Preservation: Glossary of Terms,https://cool.culturalheritage.org/byorg/bavc/bavcterm.html,Bay Area Video Coalition,<KI-Generiert> Fachtext,"<KI-Generiert> Ein Glossar mit Begriffen, das entwickelt wurde, um Mitgliedern der BAVC Video Preservation Round Table-Arbeitsgruppe zu helfen, die sich 1995-1996 in Minneapolis, Minnesota, trafen, um das Thema zu interpretieren und zu erforschen. Dieses Dokument ist ein Versuch, eine Standardisierung der Terminologie zu beginnen, die verwendet wird, um die Eigenschaften der Verschlechterung von Magnetvideobändern zu identifizieren. Dieses Lexikon könnte für Videoingenieure, Videokatalogisierer, Fernseh- und Videoeditoren, Restauratoren, Kuratoren, Künstler, Produzenten sowie andere Fachleute, die mit Videobändern arbeiten, von Nutzen sein.","<KI-Generiert> Video, Erhaltung, Glossar, Begriffe, Terminologie, Videoband, Verschlechterung, Videoingenieure, Videokatalogisierer, Fernsehen, Videoeditoren, Restauratoren, Kuratoren, Künstler, Produzenten, Magnetvideoband, Zustand, Neue Medien",Zustand,Neue Medien / Video,,englisch,HTML,-,"<KI-Generiert> ©1996 Rebecca Bachman, Walker Art Center Archives",X,,,,True,,True,1996-01-01
Visual Glossary - Australian Institute for the Conservation of Cultural Material,https://aiccm.org.au/conservation/visual-glossary/,Australian Institute for the Conservation of Cultural,Vokabular,<KI-Generiert> Zustand,<KI-Generiert> Schlagwörter,Zustand,Alle,,englisch,HTML,-,,X,,,,True,,False,
Wand- und Deckenmalerei in Lübecker Bürgerhäusern 1300 bis 1800,https://www.wandmalerei-luebeck2020.uni-kiel.de/hv1.php?,Universität Kiel,<KI-Generiert> Datenbank,<KI-Generiert> Datenbank mit Informationen zur Wand- und Deckenmalerei in Lübecker Bürgerhäusern von 1300 bis 1800.,"<KI-Generiert> Wandmalerei, Deckenmalerei, Lübeck, Bürgerhäuser, 1300-1800, Malereischichten, Ornamentik, Bildthemen, Adressen",,,,<KI-Generiert> de,<KI-Generiert> HTML,,,<KI-Generiert> x,,,,True,,True,2006-01-01
Web Ontology Language (OWL),https://de.wikipedia.org/wiki/Web_Ontology_Language; https://www.w3.org/TR/owl2-primer/ ,,<KI-Generiert> Ontologie,<KI-Generiert> Web Ontology Language (OWL),"<KI-Generiert> OWL, Web Ontology Language, Ontologie",,,,,<KI-Generiert> OWL,,,,,"W3C Standard, https://format.gbv.de/schema/owl",,True,True,False,
,,,,,,,,,,,,,,,,,True,,False,
,,"American Association for State and Local History (AASLH), and Canadian Heritage Information Network",,,,"Dokumentation, Objekte, Techniken",Alle,,"englisch, französisch",SPARQL,X,,X,,KF: Interessant fürs Mapping,,True,,False,
