Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive
Lexikon Chemie,https://www.chemie.de/lexikon/,LUMITOS,Fachtext,"Das chemie.de Lexikon bietet über 34.000 Artikel zu Begriffen aus Chemie, Pharmazie, Materialwissenschaften und verwandten naturwissenschaftlichen Disziplinen. Es dient als umfassendes Nachschlagewerk für Fachleute und Interessierte.","Chemie, Pharmazie, Materialwissenschaften, Lexikon, Fachbegriffe, Nachschlagewerk",DE,deutsch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Lexikon historische und exklusive Baustoffe,https://www.exklusive-baustoffe.de/baurat/lexikon/,XMC-Computer,Fachtext,"Umfangreiche Sammlung von Fachbegriffen aus den Bereichen historisches Bauen, Restaurierung und Denkmalpflege. Es dient als Nachschlagewerk für Fachleute und Interessierte, die sich mit traditionellen Bauweisen und Materialien beschäftigen.","Baustofflexikon, historische Baustoffe, Restaurierung, Denkmalpflege, Bauhandwerk, Fachbegriffe",DE,deutsch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Lightweight Information Describing Objects (LIDO),https://cidoc.mini.icom.museum/working-groups/lido/lido-overview/about-lido/what-is-lido/,ICOM - International Council of Museums,Datenschema,LIDO (Lightweight Information Describing Objects) ist ein XML-basiertes Austauschformat für strukturierte Deskriptionsdaten zu Sammlungsobjekten. Es wird zur Aggregation und Veröffentlichung von Museums- und Kulturdaten verwendet und ist mit semantischen Modellen wie CIDOC CRM kompatibel.,"LIDO, Datenmodell, XML, CIDOC CRM, Museumsdaten, Deskription, Interoperabilität",International,englisch,XML,,CC BY 4.0,TRUE,TRUE,,,TRUE,TRUE,FALSE
Linked Conservation Data - conservation-vocabularies GitHub Repository,https://github.com/linked-conservation-data/conservation-vocabularies/tree/master,"Linked Conservation Data Consortium (u.A. British Museum, Getty Research Institute, Institute of Conservation, San Francisco Museum of Modern Art, National Gallery London, Sapienza Universitá di Roma, Stanford Libraries, University of the Arts London)",Vokabular,"Das Repository „Conservation Vocabularies“ des Linked Conservation Data (LCD) Projekts sammelt strukturierte Vokabulare, Thesauri und Wortlisten, die in der Restaurierung und Konservierung verwendet werden. Es enthält sowohl veröffentlichte als auch lokal genutzte Vokabulare sowie Daten zur semantischen Verknüpfung dieser Ressourcen. Ziel ist es, die Interoperabilität und Wiederverwendbarkeit von konservierungsbezogenen Begriffen im Sinne von Linked Open Data zu fördern.","Konservierung, Thesaurus, SKOS, Linked Data, Vokabular-Alignment, semantische Interoperabilität, CIDOC CRM, AAT, LoB",International,englisch,GitHub,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,Mögliches Vorbild für unsere Datenaustauschplattform --> insbesondere das Wiki als Anleitung zur Aufbereitung der Daten liefert gute Inspiration,"Athanasios Velios - a.velios@arts.ac.uk; 
Anastasia Axaridou - axaridou@ics.forth.gr;
Ceri Binding - ceri.binding@southwales.ac.uk",TRUE,TRUE,TRUE
Linked Open Archaeological Data Ontology (LADO),https://wissit.pages.gitlab.rlp.net/lado/index-en.html,,Ontologie,Formale Ontologie zur semantischen Beschreibung archäologischer Artefakte und ihrer Kontexte. Sie basiert auf dem CIDOC Conceptual Reference Model (CIDOC CRM) und ermöglicht die strukturierte Darstellung und Verknüpfung archäologischer Daten im Sinne von Linked Open Data. LADO wird vom Leibniz-Zentrum für Archäologie (LEIZA) entwickelt und dient der Harmonisierung heterogener archäologischer Datensätze,"Ontologie, Archäologie, Linked Open Data, CIDOC CRM, RDF, semantische Modellierung, Datenintegration",DE,englisch,"OWL, RDF/XML, Turtle, JSON-LD, N-Triples",,Creative Commons Attribution 4.0 International (CC BY 4.0),TRUE,TRUE,,,TRUE,TRUE,TRUE
Linked Places Data Format (LPF),https://github.com/LinkedPasts/linked-places-format,,Datenschema,"Das Linked Places Format (LPF) ist ein offener Standard zur Beschreibung historischer Ortsdaten. Es ermöglicht die Verknüpfung von Ortsangaben aus verschiedenen Gazetteer-Datenbanken und unterstützt sowohl JSON-LD als auch GeoJSON. LPF erlaubt die zeitliche Einordnung von Ortsnamen, Geometrien und Beziehungen und wird in Projekten wie dem World Historical Gazetteer (WHG) und Recogito eingesetzt.","Gazetteer, Linked Data, GeoJSON, JSON-LD, historische Geodaten, temporale Modellierung, Ontologie, LP-TSV",International,englisch,GitHub,,Open Source (GitHub Repository),TRUE,TRUE,,,TRUE,TRUE,TRUE
LVR-Bodendenkmalpflege Thesauri,https://bodendenkmalpflege.lvr.de/de/service/grabungsrichtlinien/grabungsrichtlinien_1.html,LVR-Amt für Bodendenkmalpflege im Rheinland,Ressourcensammlung,"Die Prospektions- und Grabungsrichtlinien des LVR-Amts für Bodendenkmalpflege im Rheinland definieren verbindliche Standards für archäologische Maßnahmen im Rheinland. Sie enthalten Anforderungen an Prospektions- und Grabungstechniken, Fundbearbeitung, Einsatz geoarchäologischer und naturwissenschaftlicher Methoden sowie zur Dokumentation der Maßnahmen. Zudem beinhalten sie Redaktionshinweise für Fachpublikationen und verschiedene Formblätter und Listen.","Archäologie, Grabungsrichtlinien, Prospektion, Dokumentation, Rheinland, Denkmalschutz, Fundbearbeitung, Geoarchäologie, Standardisierung",DE,deutsch,"PDF, ZIP, Excel, CSV",,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,
LVR-Grabungsrichtlinien,https://bodendenkmalpflege.lvr.de/media/bodendenkmalpflege/service/pdf_3/Grabungsrichtlinien_2020.pdf,LVR-Amt für Bodendenkmalpflege im Rheinland,Fachtext,"Grabungsrichtlinien des Landes Nordrhein-Westfalen im Zuständigkeitsgebiet des LVR-Amt für Bodendenkmalpflege im
Rheinland, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.","Grabungsrichtlinien, Formulare, Ausgrabung",DE,deutsch,PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,FALSE,TRUE,TRUE
LWL-Grabungsrichtlinien,https://www.lwl-archaeologie.de/media/filer_public/2c/fe/2cfe3b94-ac59-48f4-9202-555b3f165987/lwl_grabungsrichtlinien_maerz_2023.pdf,LWL-Archäologie für Westfalen,Fachtext,"Grabungsrichtlinien des Landes Nordrhein-Westfalen im Zuständigkeitsgebiet der LWL-Archäologie für Westfalen, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.","Grabungsrichtlinien, Formulare, Ausgrabung",DE,deutsch,PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Massenfunde in archäologischen Sammlungen,https://www1.rgzm.de/kur/index.cfm?Layout=holz&Content=start&Language=de&Node=j1_2,Leibniz-Zentrum für Archäologie,Datenbank,"Die KUR Online-Datenbank dokumentiert die Ergebnisse des Projekts „Massenfunde in archäologischen Sammlungen“ (2008–2011), das verschiedene Methoden zur Konservierung von archäologischem Nassholz systematisch verglichen hat. Ziel war es, Restauratoren und Archäologen praxisnahe Entscheidungshilfen für die Konservierung großer Fundmengen bereitzustellen.","Nassholzkonservierung, PEG, Melaminharz, Saccharose, 3D-Scan, Volumenänderung, ASE-Wert, Feuchtbodenfunde, Restaurierung, Archäologie",DE,"deutsch, englisch",HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,,,TRUE,TRUE,TRUE
MaSC spectral database,https://mascgroup.org/database/data-submission/,User's group for mass spectrometry and chromatography,Datenbank,"Webbasiertes Tool zur Einreichung von Massenspektren, insbesondere für die Konservierungswissenschaft. Mitglieder können Spektren im JCAMP-DX-Format hochladen, um eine gemeinsame Datenbank aufzubauen.","Massenspektrometrie, Chromatographie, Kulturerbe, JCAMP-DX, Datenbank, Konservierung",International,englisch,"JCAMP-DX, NIST, PDF, ASCII",,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,Eingeschränkt (nur für registrierte Mitglieder),TRUE,,,TRUE,TRUE,TRUE
Materialarchiv,https://materialarchiv.ch/de?type=all,Material Archiv CH,Datenbank,"Frei zugängliche, multimediale Wissensplattform über Werkstoffe, ihre Eigenschaften, Herstellungsprozesse und Anwendungen. Die Plattform verknüpft digitale Inhalte mit physischen Mustersammlungen und wird von einem Netzwerk aus Hochschulen, Museen und Institutionen getragen.","Werkstoffe, Materialkunde, Design, Architektur, Verfahren, Nachhaltigkeit, Bildung, Mustersammlungen",CH,"deutsch, englisch",HTML,-,Keine spezifische Lizenz angegeben; Inhalte sind öffentlich zugänglich,TRUE,TRUE,,,TRUE,FALSE,TRUE
Materials Testing Results,https://www.conservation-wiki.com/wiki/Materials_Testing_Results,American Institute for Conservation,Datenbank,"Umfangreiche Sammlung von Testergebnissen für Materialien, die in der Konservierung und Ausstellung von Kulturgütern verwendet werden. Die Datenbank enthält Informationen zu verschiedenen Materialien wie Stoffen, Klebstoffen, Farben und Dichtstoffen, die auf ihre Eignung für den Einsatz in der Nähe von Kunstobjekten getestet wurden.","Konservierung, Materialprüfung, Oddy-Test, Ausstellungsmaterialien, Sammlungspflege",International,englisch,MediaWiki,X,Informationen dienen nur zu Informationszwecken; keine spezifische Lizenz angegeben,TRUE,TRUE,,,TRUE,TRUE,TRUE
Mecklenburg-Vorpommern Thesauri,https://www.kulturwerte-mv.de/Landesarchaeologie/Arch%C3%A4ologisches-Kulturerbe/Ausgrabungen/downloads-ausgrabung/,"Landesamt für Kultur und Denkmalpflege Mecklenburg-Vorpommern, Landesarchäologie",Vokabular,"Thesauri zur Befundansprache, den Landkreisen, Materialien, Objekten und Zeitstufen, die in der Arbeit der Landesarchäologie in Mecklenburg-Vorpommern verwendet werden.","Thesauri, Ausgrabung, Befund, Zeit, Landkreis, Materialien, Objekt",DE,deutsch,CSV,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Mecklenburg-Vorpommern Grabungsrichtlinien,https://www.kulturwerte-mv.de/Landesarchaeologie/Arch%C3%A4ologisches-Kulturerbe/Ausgrabungen/downloads-ausgrabung/,"Landesamt für Kultur und Denkmalpflege Mecklenburg-Vorpommern, Landesarchäologie",Ressourcensammlung,"Dokumente und Vorlagen für die Durchführung archäologischer Maßnahmen. Dazu gehören Richtlinien, Checklisten, Datenstrukturen, Listen und GIS-Vorlagen, die eine standardisierte Dokumentation und Durchführung von Ausgrabungen und anderen archäologischen Tätigkeiten ermöglichen.","Archäologie, Ausgrabung, Dokumentation, Richtlinien, Mecklenburg-Vorpommern, GIS, Datenstruktur, Befundliste, Fotoliste, Thesaurus",DE,deutsch,PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Metadaten-Harmonisierung zu Archäologischen Schutzgebieten,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-1,Verband der Landesarchäologien,Ressourcensammlung,"Projektübersicht der Kommission „Archäologie und Informationssysteme“ mit Informationen zu Standards, Datenmodellen, Thesauri, Archivierung und rechtlichen Aspekten archäologischer Dokumentation und Datenverarbeitung.","Archäologie, Digitalisierung, Denkmalpflege, ADeX, Thesauri, Datenmodellierung, NFDI, rechtliche Aspekte, Interoperabilität",DE,deutsch,PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,https://www.landesarchaeologien.de/fileadmin/mediamanager/004-Kommissionen/Archaeologie-und-Informationssysteme/Recht/Metadaten-Harmonisierung_02.pdf,AG Recht des VLA,FALSE,TRUE,TRUE
MIDAS,https://heritage-standards.org.uk/midas-heritage/,Brandenburgisches Landesamt für Denkmalpflege und Archäologisches Landesmuseum,,,,,,,,,,,,,,,
Monument Damage Information System (MONDIS),https://www.mondis.cz/en/web/portal,Technische Universität Prag,Ressourcensammlung,"Webbasiertes Expertensystem, das Fachleute bei der Bewertung, Dokumentation und Analyse von Schäden an denkmalgeschützten Bauwerken unterstützt. Es basiert auf einer Ontologie, die spezifische Begriffe und Beziehungen im Bereich der Denkmalpflege formalisiert. Das System ermöglicht die strukturierte Erfassung von Fallstudien und allgemeinen Fachkenntnissen, um fundierte Entscheidungen über Restaurierungsmaßnahmen zu treffen.","Denkmalpflege, Bauschäden, Ontologie, Wissensmanagement, Restaurierung, Bauwerksanalyse",CZE,"englisch, tschechisch","OWL 2, OpenRDF Sesame triple store",X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Multilingual Bookbinding and Conservation Dictionary,http://digitalcellulose.com/wiki/,Suzy Morgan and Peter Verheyen,Vokabular,"Frei zugängliches Online-Wörterbuch, das Terminologie aus den Bereichen Buchbinderei und Buchrestaurierung in mehreren Sprachen zusammenführt. Es richtet sich an Restaurator:innen, Buchbinder:innen und Buchwissenschaftler:innen. Ziel ist es, aktuelle und historische Fachbegriffe aus verschiedenen Quellen zu bündeln und als Übersetzungshilfe bereitzustellen.","Buchbinderei, Restaurierung, Fachterminologie, Mehrsprachigkeit, Wörterbuch, Buchgeschichte, Konservierung",International,"deutsch, englisch, etc.",Semantic MediaWiki,X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,FALSE,TRUE
Multilingual Glossary for Art Librarians,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://melbourneartnetwork.com.au/files/vii/s30/pub/mg1.pdf ; https://www.degruyterbrill.com/document/doi/10.1515/9783110977653/html?srsltid=AfmBOoqibP26sgph3NpAofUN0sqpl0E4xO0McfUmg7Vw7bjQTPV2HbeF,International Federation of Library Associations and Institutions - Section of Art Libraries,Vokabular,Mehrsprachiges Glossar zu Begriffen aus den Bereichen Kunst- und Bibliothekswesen. 2. Erweiterte Auflage der ursprünglichen Publikation.,"Glossar, Bibliothekswesen, Kunst, Papier, Konservierung, Methoden, Technik, Materialien",diverse,"deutsch, englisch, französisch, niederländisch, iatlienisch, spanisch, schwedisch",PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,,,TRUE,FALSE,TRUE
Museumvokabular,http://www.museumsvokabular.de/,Pro Sammlung e.V.,Vokabular,"Portal zur Bereitstellung, Bearbeitung und Vernetzung kontrollierter Vokabulare für die Museumsdokumentation. Es bietet digital verfügbare Vokabulare, die von ihren Verantwortlichen zur Nutzung frei bereitgestellt werden. Die Plattform unterstützt Museen dabei, ihre Sammlungen konsistent zu erschließen und zu klassifizieren.","Museumsdokumentation, kontrolliertes Vokabular, Thesauri, Klassifikation, Systematiken, Objektklassifikation, Museumsvokabular",DE,deutsch,HTML,-,Variiert je nach Vokabular; viele unter offenen Lizenzen verfügbar,TRUE,TRUE,,,TRUE,TRUE,TRUE
Niedersachsen Denkmalpflege-Thesauri,https://uri.gbv.de/terminology/?search=Nieders%C3%A4chsisches%20Landesamt,Niedersächsisches Landesamt für Denkmalpflege,Vokabular,"Das GBV Terminologieportal bietet einen zentralen Zugang zu kontrollierten Vokabularen und Normdaten, die von Bibliotheken, Archiven und Museen genutzt werden. Es ermöglicht die Suche und Nutzung von standardisierten Begriffen für die Erschließung und Beschreibung von Ressourcen. Die Plattform unterstützt die Interoperabilität zwischen verschiedenen Informationssystemen durch die Bereitstellung von persistenten URIs für Begriffe und Konzepte","Normdaten, kontrolliertes Vokabular, Bibliotheken, Archive, Museen, Interoperabilität, GBV, Terminologieportal",DE,deutsch,"Webanwendung, RDF, SKOS",,Variiert je nach Vokabular; viele unter Creative Commons Lizenzen,TRUE,TRUE,,,TRUE,TRUE,
Nomenclature for museum cataloguing,https://page.nomenclature.info/index.app,,Vokabular,"Strukturiertes, kontrolliertes Vokabular zur Klassifikation und Benennung von musealen Objekten, insbesondere in historischen und ethnologischen Sammlungen. Die Online-Ressource bietet eine durchsuchbare Hierarchie von Begriffen, unterstützt durch Definitionen, Synonyme und Illustrationen.","Museale Katalogisierung, kontrolliertes Vokabular, Objektklassifikation, Nomenclature 4.0, CHIN, AASLH, Parks Canada, zweisprachig, Linked Open Data","CA, USA","englisch, französisch",HTML,,Open Data Commons Attribution License (geplant für vollständige Linked Open Data-Freigabe),TRUE,TRUE,,,TRUE,TRUE,TRUE
Numismatic Description Schema (NUDS),https://nomisma.org/nuds,,Ontologie,"Das Numismatic Description Schema (NUDS) ist ein XML-basiertes Datenmodell zur strukturierten Beschreibung von Münzen und verwandten Objekten. Es wurde entwickelt, um numismatische Informationen standardisiert zu erfassen und den Austausch zwischen Datenbanken zu erleichtern. Die Ressource auf Nomisma.org bietet die vollständige Dokumentation des Schemas, einschließlich einer detaillierten Auflistung der Elemente und Attribute sowie Beispiele für deren Anwendung.","Numismatik, XML-Schema, Datenstandard, Münzbeschreibung, Linked Open Data, Nomisma.org, NUDS",International,englisch,XML (XDS-Schema),,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,,,TRUE,TRUE,TRUE
OASIS,https://oasis.ac.uk/country/england/index.xhtml?country=england,ADS,Ressourcensammlung,"Online-System zur Erfassung und Weitergabe von Informationen aus archäologischen und denkmalpflegerischen Untersuchungen in England. Es ermöglicht Fachleuten, ihre Forschungsergebnisse mit lokalen und nationalen Stellen zu teilen, Berichte hochzuladen und Daten in regionale Forschungsrahmen einzubinden.","Archäologische Dokumentation, Denkmalpflege, Datenmanagement, Historic Environment Records (HER), Grey Literature, Forschungsrahmen, OASIS England",UK,englisch,Web-Service,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,https://oasis.ac.uk/contact.xhtml,TRUE,TRUE,TRUE
ObjectID,https://icom.museum/en/resources/standards-guidelines/objectid/,ICOM - International Council of Museums,,"Object ID ist ein international anerkannter Dokumentationsstandard zur Identifizierung und Beschreibung von Kulturgütern. Die Online-Ressource bietet umfassende Informationen über die Anwendung des Standards, einschließlich einer Checkliste zur Erfassung relevanter Objektdaten. Ziel ist es, die Wiedererkennung und Rückführung gestohlener oder verlorener Objekte zu erleichtern und den illegalen Handel mit Kulturgütern zu bekämpfen.","Objektidentifikation, Kulturgutschutz, Museumsdokumentation, Standardisierung, ICOM, Diebstahlsprävention, Checkliste",International,diverse,"HTML, PDF",,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. Object ID ™ is a trademark of the J. Paul Getty Trust. Use of this trademark is prohibited without permission from: ICOM, 15 rue Lasson, 75012 Paris, France © The J. Paul Getty Trust, 1999. All rights reserved.",TRUE,TRUE,"9  Informationskategorien: Objekttyp, Material/Technik, Maße, Beschriftung/Markierungen, Merkmale, Titel, Thema, Datierung, Hersteller",,TRUE,TRUE,FALSE
Oddy-Test,https://www.smb.museum/museen-einrichtungen/rathgen-forschungslabor/forschung/forschungsergebnisse/der-oddy-test/,Rathgen-Forschungslabor,Ressourcensammlung,"Informationsseite des Rathgen-Forschungslabors über den Oddy-Test. Enthält Hintergrundinformationen zum Testverfahren, eine Anleitung zur Durchführung sowie eine aktuelle Materialtabelle als PDF.","Konservierung, Oddy-Test, Materialverträglichkeit, Ausstellung, museale Praxis, Prüflabor, Schadstoffe",DE,"deutsch, englisch",PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,FALSE,TRUE
Ökumenisches Heiligenlexikon,https://www.heiligenlexikon.de/,Joachim Schäfer,Ressourcensammlung,"Konfessionsübergreifendes Online-Lexikon mit über 10.000 Biografien von Heiligen, Seligen und weiteren religiösen Persönlichkeiten. Enthält Kalender, Glossar und Bilder.","Heiligenlexikon, Biografien, Religion, Heilige, Kalender, Patronate, Attribute, Kirchengeschichte",DE,deutsch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Ontology for Degredation Phenomena and Annotation on 3D Reconstructions (ODPA-3DR),https://ieeexplore.ieee.org/document/7419528,Arts et métiers ParisTech,Ontologie,"semantisches Datenmodel des ANR MONUMENTUM Project zur Erfassung und Integration multidisziplinärer Beobachtungen des Erhaltungszustands von Mauerwerken, die in einer realitätsbasierten 3D-Darstellung verräumlicht werden.","Ontologie, Erhaltungszustand, 3D, Wissensmodellierung, semantische Technologien, Konservierung",FR,englisch,"Protégé/OWL, CIDOC CRM",X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,FALSE,FALSE,,,TRUE,FALSE,FALSE
Ontology for the decision-making of conservation and restoration intervention of Cultural Heritage (DCRI),https://github.com/ii-aegean/DCRI-ont,"National Museum of Contemporary Art Athens (EMST),
National Gallery Alexandros Soutsos Museum (EPMAS)",Ontologie,"semantisches Datenmodell, welches das Fachwissen in Bezug auf die Wahl/Entscheidung der geeignetsten konservatorischen Maßnahme in verschiedenen Fällen repräsentiert und integriert. Die Ontologie soll den Prozess der Entscheidungsfindung in einer Granularität konzeptualisieren, die eine sehr detaillierte Darstellung ermöglicht. 

Darüber hinaus ist in Form von Individuen Fachwissen in Bezug auf zwei konkrete Anwendungsfälle enthalten: die Reinigung oberflächlicher Ablagerungen und die Konsolidierung von abblätternder Gouache",,GR,englisch,"Protégé/OWL, SWRL, SKOS",,CC0 1.0 Lizenz,TRUE,TRUE,,,TRUE,FALSE,TRUE
Ontology of Paintings and Preservation of Art (OPPRA),http://www.20thcpaint.org/oppra-owl/,University of Queensland (eResearch Lab) und Asia Pacific Twentieth Century Conservation Art Research Network,Ontologie,Semantisches Datenmodel aus dem Twentieth Century Paint Project (20thCPaint) mit Spezialisierung auf Konservierung und Restaurierung von Gemälden. Wurde entwickelt um konservierungsspezifische Dokumentationsdaten sowie Daten aus Publikationen zu sammeln und für automatisiertes Reasoning zu integrieren. Die Ontologie sowie die Projektseite sind nicht mehr erreichbar.,"Ontologie, Gemälderestaurierung, Wissensmodellierung, semantische Technologien, Konservierung, 20. Jahrhundert",AUS,englisch,"Protégé / Cidoc CRM,  OIA-ORE, OreChem",X,URL nicht mehr erreichbar,FALSE,FALSE,Website aktuell nicht erreichbar. Arbeitsergebnisse nicht auffindbar,,TRUE,FALSE,TRUE
Open Geospatial Consortium (OGC),https://www.ogc.org/de/,Open Geospatial Consortium,Ressourcensammlung,"Internationales Konsortium mit über 500 Mitgliedern aus Wirtschaft, Regierung, Forschung und Universitäten. Es entwickelt offene Standards für Geodaten und fördert die Interoperabilität von Geoinformationssystemen (GIS), Sensoren, IoT-Geräten und Webdiensten. Zu den bekanntesten Standards gehören WMS, WFS, WCS, GML, CityGML und die OGC API-Familie. OGC unterstützt die FAIR-Prinzipien (Findable, Accessible, Interoperable, Reusable) für Geodaten.","Geodatenstandards, Interoperabilität, GIS, Sensoren, IoT, Webdienste, FAIR-Prinzipien, OGC API, WMS, WFS, WCS, GML, CityGML",International,diverse,,,Standards sind öffentlich und lizenzfrei verfügbar,TRUE,TRUE,,,FALSE,TRUE,FALSE
Painting Conservation - Glossary of Terms - Smithsonian Museum Conservation Institute,https://mci.si.edu/painting-conservation-glossary-terms,Smithsonian’s Museum Conservation Institute,Vokabular,Umfassendes Glossar mit Fachbegriffen aus der Gemälderestaurierung.,"Gemälderestaurierung, Konservierung, Fachbegriffe, Abrasion, Craquelure, Inpainting, Varnish",USA,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,FALSE,TRUE
PeriodO,https://perio.do/en/,PeriodO Project,Datenbank,"PeriodO ist ein öffentlich zugängliches Verzeichnis wissenschaftlicher Definitionen von historischen, kunsthistorischen und archäologischen Zeiträumen. Es erleichtert die Verknüpfung von Datensätzen, die Zeiträume unterschiedlich definieren. Außerdem hilft es Wissenschaftler:innen und Studierenden zu erkennen, wo sich Periodendefinitionen überschneiden oder voneinander abweichen. Neben der Suche nach Zeiträumen und Epochen ist auch eine geographische Verortung des Epochenzeitraums bzw. der Verwendung möglich, sowie die Bearbeitung der Epochen und Zeitstufen","Zeitstufen, Epochen, räumliche Verortung",USA,"englisch, spanisch","SKOS, OWL-Time Ontology, JSON, TURTLE, CSV",,CC0 1.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
Petra archaeological park weathering and deterioration definitions,https://www.heritageforpeace.org/wp-content/uploads/2013/03/Glossary-Weathering-Deterioration-Definitions-AR-EN.pdf,Petra Archaeological Park,Vokabular,"Zweisprachiges Glossar (Arabisch–Englisch) bietet Definitionen zu verschiedenen Formen der Verwitterung und des Verfalls von Steinmaterialien, insbesondere im Kontext des Petra Archaeological Park in Jordanien.","Verwitterung, Steinverfall, Denkmalpflege, Petra, Jordanien, zweisprachiges Glossar, Konservierung, Restaurierung",ESP,"arabisch, englisch",PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,,,TRUE,TRUE,TRUE
Photographic process terms glossary,https://peib.dmu.ac.uk/about/glossary.php,National Gallery of Canada,Vokabular,"Das Glossar bietet eine umfassende Sammlung von Begriffen zu fotografischen Verfahren des 19. Jahrhunderts, insbesondere aus der Zeit von 1839 bis 1865. Es erläutert Prozesse wie Albumin-, Kalotypie-, Kollodium- und andere historische Techniken, die in britischen Fotoausstellungen verwendet wurden. Jede Definition enthält historische Kontexte und Verweise auf zeitgenössische Quellen.","historische Fotografie, fotografische Verfahren, Albumin, Kalotypie, Kollodium, 19. Jahrhundert, PEIB, De Montfort University, Ausstellungskataloge",UK,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,,,TRUE,FALSE,TRUE
PLEIADES,https://pleiades.stoa.org/,"Institute for the Study of the Ancient World, Ancient World Mapping Center u. a.",Datenbank,"Pleiades ist ein von der Gemeinschaft erstellter Gazetteer antiker Orte. Es veröffentlicht nicht nur für einzelne Nutzer, sondern auch für Suchmaschinen und für die wachsende Zahl von computergestützten Forschungs- und Visualisierungswerkzeugen, die die geisteswissenschaftliche Lehre und Forschung unterstützen. Zur besseren Verortung ist Pleiades zudem mit einem GIS verknüpft.","Antike Orte, historische Ortsnamen, Gazetteer",diverse,englisch,"JSON, CSV, KML, RDF/XML, Turtle, API, GeoJSON",,CC BY 3.0 US,TRUE,TRUE,,,FALSE,TRUE,TRUE
PMG Cased Photographs,https://www.conservation-wiki.com/index.php?title=PMG_Cased_Photographs#2.6_Glossary,American Institute for Conservation,Ressourcensammlung,"Teil des AIC Conservation Wiki; bietet umfassende Informationen zu gerahmten Fotografien des 19. Jahrhunderts, einschließlich Daguerreotypien, Ambrotypien und Ferrotypien (Tintypes). Sie behandelt deren Herstellung, Materialien, typische Schäden, Konservierungsmethoden und Gehäuseformate. Die Inhalte basieren auf dem 1998 veröffentlichten Kapitel des Photographic Materials Conservation Catalog und wurden zuletzt 2021 aktualisiert.","Daguerreotypie, Ambrotypie, Ferrotypie, Nasskollodiumverfahren, Gehäuseformate, Konservierung, Restaurierung, fotografische Materialien, 19. Jahrhundert",USA,englisch,MediaWiki,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,FALSE,TRUE
